Estación,Código,Departamento,Municipio,Latitude,Longitude,Altitude
AMATITLÁN,INS011401AT,Guatemala,Amatitlán,14.46785,-90.63039,1205
ANTIGUA GUATEMALA,INS030101AT,Sacatepéquez,Antigua Guatemala,14.53974,-90.7383,1539
CONCEPCIÓN,INS050101AT,Escuintla,Escuintla,14.32352,-90.78758,421
IXCHIGUÁN,INS122301AT,San Marcos,Ixchiguán,15.16483,-91.9395,3336
JALAPA,INS210101AT,Jalapa,Jalapa,14.59639,-89.96739,1352
LA REFORMA,INS122101AT,San Marcos,La Reforma,14.8,-91.8167,1133
LO DE COY,INS010801AT,Guatemala,Mixco,14.62109,-90.59922,1686
MARISCOS,INS180501AT,Izabal,Izabal,15.42866,-89.07781,16
MORALES MET,INS180401AT,Izabal,Morales,15.478211,-88.823711,123
PACHUTÉ,INS090401AT,Quetzaltenango,San Carlos Sija,14.98341,-91.57365,2682
PLAYA GRANDE MET (IXCAN),INS142201AT,Quiché,Ixcán,15.98888,-90.74017,186
SAN JOSÉ PINULA,INS010301AT,Guatemala,San José Pinula,14.52392,-90.39191,1744
SAN PEDRO AYAMPUC,INS010701AT,Guatemala,San Pedro Ayampuc,14.7834166,-90.4500096,1269
SANTA CRUZ QUICHÉ,INS140101AT,Quiché,Santa Cruz del Quiché,15.05016,-91.15395,2082
SANTA MARGARITA,INS040801AT,Chimaltenango,Pochuta,14.50575,-91.01144,1137
TOTONICAPÁN,INS080101AT,Totonicapán,Totonicapán,14.91082,-91.36441,2478
