Estación,Código,Departamento,Municipio,Latitude,Longitude,Altitude
ALAMEDA ICTA,INS040101CV,Chimaltenango,Chimaltenango,14.637936,-90.8,1750
ASUNCIÓN MITA R.H.,INS220501CV,Jutiapa,Asunción Mita,14.335447,-89.71,478
CAMOTÁN,INS200501CV,Chiquimula,Camotán,14.821751,-89.37,450
CATARINA,INS121601CV,San Marcos,Catarina,14.856361,-92.07,233
CHAMPERICO FEGUA,INS110701CV,Retalhuleu,Champerico,14.29397,-91.91,5
CHINIQUE,INS140301CV,Quiché,Chinique,15.04675,-91.02,1880
CHIXOY PCH,INS141901CV,Quiché,Chicamán,15.357893,-90.66,680
COBÁN,INS160101CV,Alta Verapaz,Cobán,15.46992,-90.41,1323
CUBULCO,INS150401CV,Baja Verapaz,Cubulco,15.109023,-90.62,994
EL CAPITÁN,INS071301CV,Sololá,San Lucas Tolimán,14.644497,-91.14,1562
EL TABLÓN,INS070101CV,Sololá,Sololá,14.7902778,-91.18,2397
ESQUIPULAS,INS200701CV,Chiquimula,Esquipulas,14.559694,-89.34,950
FLORES AEROPUERTO,INS170101CV,Petén,Flores,16.916093,-89.87,123
HUEHUETENANGO,INS130101CV,Huehuetenango,Huehuetenango,15.31828,-91.5,1870
INSIVUMEH,INS010101CV,Guatemala,Guatemala,14.587267,-90.53,1502
LA AURORA,INS010102CV,Guatemala,Guatemala,14.58619,-90.53,1491
LA FRAGUA,INS190201CV,Zacapa,Estanzuela,14.96553,-89.58,227
LA UNIÓN,INS190901CV,Zacapa,La Unión,14.9633333,-89.29,1000
LABOR OVALLE,INS090301CV,Quetzaltenango,Olintepeque,14.871334,-91.51,2380
LAS VEGAS PHC,INS180201CV,Izabal,Livingston,15.585416,-88.94,10
LOS ALBORES,INS020301CV,El Progreso,San Agustín Acasaguastlán,15.0525,-89.95,1391
LOS ALTOS,INS090101CV,Quetzaltenango,Quetzaltenango,14.8599015,-91.51,2389
LOS ESCLAVOS,INS060101CV,Santa Rosa,Cuilapa,14.2528,-90.28,737
MAZATENANGO,INS100101CV,Suchitepéquez,Mazatenango,14.5283333,-91.5,352
MONTUFAR,INS221401CV,Jutiapa,Moyuta,13.80853,-90.15,29
NEBAJ,INS141301CV,Quiché,Nebaj,15.399247,-91.14,1906
PANZOS PHC ALTAVERAPAZ,INS160701CV,Alta Verapaz,Panzós,15.3974,-89.64,33
PASABIEN,INS190301CV,Zacapa,Río Hondo,15.030222,-89.68,260
POTRERO CARRILLO,INS210101CV,Jalapa,Jalapa,14.74996,-89.93,1760
PUERTO BARRIOS PHC,INS180101CV,Izabal,Puerto Barrios,15.730161,-88.58,2
QUEZADA,INS221701CV,Jutiapa,Quesada,14.232852,-90.04,980
RETALHULEU AEROPUERTO,INS110101CV,Retalhuleu,Retalhuleu,14.52486,-91.69,205
SABANA GRANDE,INS050101CV,Escuintla,Escuintla,14.373773,-90.83,730
SACAPULAS,INS141601CV,Quiché,Sacapulas,15.290621,-91.09,1180
SAN AGUSTÍN ACASAGUASTLÁN,INS020302CV,El Progreso,San Agustín Acasaguastlán,14.9502817,-89.97,371
SAN JERÓNIMO R.H.,INS150701CV,Baja Verapaz,San Jerónimo,15.060903,-90.25,1000
SAN MARCOS PHC,INS120101CV,San Marcos,San Marcos,14.96715,-91.82,2420
SAN MARTÍN JILOTEPEQUE,INS040301CV,Chimaltenango,San Martín Jilotepeque,14.777474,-90.79,1800
SAN PEDRO NECTA,INS130601CV,Huehuetenango,San Pedro Nécta,15.49459,-91.76,1641
SANTA CRUZ BALANYÁ,INS041001CV,Chimaltenango,Santa Cruz Balanyá,14.683227,-90.92,2080
SANTA MARÍA CAHABÓN,INS161201CV,Alta Verapaz,Cahabón,15.608429,-89.81,380
SANTIAGO ATITLÁN,INS071901CV,Sololá,Santiago Atitlán,14.630858,-91.23,1569
SUIZA CONTENTA,INS030801CV,Sacatepéquez,San Lucas Sacatepéquez,14.618572,-90.66,2105
TECÚN UMÁN FEGUA AYUTLA,INS121701CV,San Marcos,Ayutla,14.70195,-92.13,29
TODOS SANTOS,INS131501CV,Huehuetenango,Todos Santos Cuchumatán,15.5080222,-91.6,2480
POPTÚN,INS171201CV,Petén,Poptún,16.32566,-89.41,479
SAN JOSÉ AEROPUERTO,INS050901CV,Escuintla,San José,13.936665,-90.84,6
