Estación,Código,Departamento,Municipio,Latitude,Longitude,Altitude
CHAMPERICO FEGUA,INS110701CV,Retalhuleu,Champerico,14.29397,-91.91426,5
COBÁN,INS160101CV,Alta Verapaz,Cobán,15.46992,-90.405518,1323
ESQUIPULAS,INS200701CV,Chiquimula,Esquipulas,14.559694,-89.341459,950
FLORES AEROPUERTO,INS170101CV,Petén,Flores,16.916093,-89.86686,123
HUEHUETENANGO,INS130101CV,Huehuetenango,Huehuetenango,15.31828,-91.502403,1870
LA AURORA,INS010102CV,Guatemala,Guatemala,14.58619,-90.52773,1491
LA FRAGUA,INS190201CV,Zacapa,Estanzuela,14.96553,-89.58437,227
LABOR OVALLE,INS090301CV,Quetzaltenango,Olintepeque,14.871334,-91.514438,2380
LOS ALTOS,INS090101CV,Quetzaltenango,Quetzaltenango,14.8599015,-91.50807279,2389
MONTUFAR,INS221401CV,Jutiapa,Moyuta,13.80853,-90.15446,29
POPTÚN,INS171201CV,Petén,Poptún,16.32566,-89.41043,479
PUERTO BARRIOS PHC,INS180101CV,Izabal,Puerto Barrios,15.730161,-88.584395,2
RETALHULEU AEROPUERTO,INS110101CV,Retalhuleu,Retalhuleu,14.52486,-91.69407,205
SAN JOSÉ AEROPUERTO,INS050901CV,Escuintla,San José,13.936665,-90.835264,6
TECÚN UMÁN FEGUA AYUTLA,INS121701CV,San Marcos,Ayutla,14.70195,-92.128059,29
